0.064	0.005	-0.159
0.067	0.029	-0.107
0.070	0.001	0.154
0.080	0.031	0.326
0.073	0.023	0.266
0.077	0.010	0.134
0.050	0.040	-0.028
0.030	0.067	-0.254
0.041	0.032	-0.177
0.042	0.030	-0.274
0.052	0.036	-0.142
0.062	0.015	-0.014
0.094	0.010	0.103
0.108	0.013	0.455
0.123	0.003	0.413
0.113	0.029	0.126
0.105	0.011	-0.097
0.088	0.051	-0.292
0.058	0.048	-0.346
0.067	0.044	-0.257
0.063	0.038	-0.193
0.050	0.016	-0.045
0.064	0.007	0.108
0.054	-0.012	0.378
0.056	0.014	0.295
0.064	0.038	0.104
0.033	0.024	-0.098
0.055	0.049	-0.184
0.069	0.050	-0.264
0.070	0.068	-0.153
0.073	0.048	-0.155
0.080	0.033	0.005
0.063	0.040	0.274
0.100	0.016	0.455
0.101	0.016	0.306
0.115	-0.002	0.144
0.104	0.006	-0.121
0.102	-0.008	-0.332
0.091	-0.004	-0.265
0.089	-0.011	-0.250
0.083	-0.014	-0.132
0.091	0.000	0.014
0.096	-0.009	0.191
0.094	-0.013	0.429
0.086	0.009	0.284
0.083	0.005	0.141
0.065	-0.006	-0.121
0.070	0.019	-0.188
0.071	0.010	-0.282
0.082	0.023	-0.190
0.101	0.013	-0.120
0.103	-0.009	-0.032
0.120	-0.006	0.243
0.120	-0.003	0.386
0.110	-0.018	0.299
0.117	-0.003	0.112
0.100	0.032	-0.166
0.107	0.027	-0.258
0.094	0.065	-0.258
0.080	0.047	-0.246
0.088	0.034	-0.188
0.080	0.060	-0.043
0.082	0.013	0.184
0.091	0.030	0.382
0.081	0.029	0.266
0.075	0.021	0.107
0.070	0.008	-0.042
0.078	0.032	-0.248
0.072	0.034	-0.219
0.074	0.051	-0.231
0.076	0.062	-0.086
0.088	0.055	-0.006
0.090	0.055	0.079
0.091	0.059	0.510
0.092	0.039	0.328
0.110	0.030	0.126
0.097	0.024	-0.123
0.079	0.013	-0.216
0.074	0.037	-0.272
0.066	0.028	-0.270
0.056	0.058	-0.130
0.065	0.030	-0.011
0.058	0.019	0.069
0.063	0.011	0.413
0.072	0.016	0.261
0.072	0.010	0.179
0.057	0.004	-0.115
0.067	0.021	-0.223
0.081	0.025	-0.192
0.065	0.031	-0.321
0.065	0.015	-0.159
0.060	0.020	0.025
0.047	-0.002	0.208
0.057	-0.010	0.436
0.049	0.002	0.384
0.069	-0.015	0.102
0.054	-0.003	-0.112
0.052	0.013	-0.269
0.058	0.003	-0.259
0.057	0.039	-0.167
0.057	0.029	-0.131
0.070	0.033	0.043
0.082	0.035	0.240
0.077	0.032	0.414
0.081	0.035	0.354
0.054	0.028	0.097
0.072	0.044	-0.137
0.065	0.042	-0.240
0.079	0.068	-0.258
0.093	0.049	-0.274
0.103	0.044	-0.171
0.107	0.061	0.052
0.116	0.052	0.238
0.102	0.060	0.498
0.092	0.089	0.363
0.074	0.099	0.014
0.089	0.094	-0.172
0.087	0.089	-0.269
0.086	0.083	-0.259
0.087	0.084	-0.227
0.090	0.081	-0.170
0.103	0.075	-0.076
0.105	0.062	0.252
0.105	0.071	0.348
0.093	0.040	0.320
0.084	0.048	0.113
0.065	0.003	-0.122
0.062	0.011	-0.238
0.048	0.007	-0.272
0.057	0.011	-0.213
0.075	0.031	-0.165
0.061	0.026	-0.179
0.059	0.046	0.212
0.069	0.067	0.400
0.065	0.059	0.421
0.047	0.061	0.135
0.063	0.043	-0.159
0.060	0.047	-0.215
0.055	0.033	-0.313
0.061	-0.009	-0.244
0.062	0.011	-0.130
0.060	0.015	0.057
0.050	0.013	0.070
0.054	-0.013	0.366
0.077	-0.010	0.336
0.052	-0.008	0.104
0.048	-0.021	-0.131
0.037	-0.021	-0.193
0.018	-0.017	-0.319
0.012	-0.034	-0.202
0.025	-0.011	-0.123
0.025	-0.011	-0.050
0.050	-0.007	0.161
0.034	0.019	0.483
0.038	0.028	0.298
0.044	0.009	0.057
0.043	-0.009	-0.118
0.070	0.005	-0.254
0.049	-0.002	-0.308
0.055	-0.006	-0.257
0.066	-0.004	-0.230
0.083	0.002	-0.014
0.093	0.011	0.252
0.094	0.010	0.462
0.087	0.024	0.285
0.087	0.012	0.022
0.065	0.008	-0.146
0.075	0.033	-0.213
0.062	0.026	-0.329
0.052	0.018	-0.267
0.051	0.047	-0.167
0.057	0.029	-0.035
0.080	0.037	0.233
0.079	0.009	0.511
0.082	0.020	0.264
0.091	0.020	0.071
0.062	0.009	-0.211
0.057	-0.004	-0.326
0.055	0.013	-0.321
0.062	0.035	-0.211
0.061	0.021	-0.131
0.068	0.028	0.006
0.047	0.042	0.299
0.063	0.050	0.368
0.056	0.050	0.368
0.034	0.058	0.063
0.046	0.044	-0.098
0.016	0.062	-0.167
0.012	0.040	-0.279
0.026	0.019	-0.221
0.032	0.052	-0.132
0.031	0.023	-0.136
0.040	0.042	0.262
0.055	0.024	0.424
0.038	0.035	0.298
0.048	0.035	0.072
0.036	0.036	-0.143
0.016	0.047	-0.275
0.012	0.058	-0.286
0.010	0.059	-0.268
0.008	0.047	-0.130
0.006	0.052	-0.024
0.004	0.048	0.183
-0.005	0.062	0.399
0.008	0.047	0.277
0.017	0.046	0.102
0.015	0.055	-0.117
0.011	0.062	-0.261
0.014	0.064	-0.226
0.011	0.057	-0.184
0.027	0.062	-0.082
0.022	0.067	-0.032
0.021	0.036	0.149
0.027	0.061	0.429
0.018	0.068	0.336
0.022	0.065	0.049
0.007	0.062	-0.072
0.027	0.062	-0.297
0.034	0.059	-0.339
0.042	0.059	-0.216
0.045	0.064	-0.102
0.045	0.058	0.027
0.047	0.067	0.261
0.052	0.062	0.385
0.056	0.039	0.261
0.069	0.022	0.136
0.074	0.041	-0.167
0.067	0.007	-0.281
0.063	-0.013	-0.273
0.037	0.012	-0.200
0.061	0.006	-0.182
0.055	0.027	0.010
0.091	0.045	0.353
0.078	0.074	0.454
0.093	0.075	0.282
0.079	0.074	0.065
0.080	0.090	-0.134
0.074	0.071	-0.329
0.077	0.072	-0.295
0.065	0.047	-0.293
0.060	0.051	-0.182
0.070	0.052	0.060
0.084	0.058	0.224
0.072	0.039	0.361
0.077	0.042	0.310
0.071	0.050	0.155
0.064	0.047	-0.160
0.065	0.064	-0.243
0.054	0.078	-0.249
0.061	0.073	-0.174
0.058	0.084	-0.151
0.066	0.081	-0.036
0.090	0.048	0.246
0.076	0.041	0.496
0.072	0.054	0.348
0.065	0.069	0.042
0.066	0.069	-0.160
0.065	0.085	-0.303
0.047	0.073	-0.320
0.029	0.079	-0.219
0.038	0.095	-0.157
0.020	0.075	-0.171
0.019	0.044	0.178
0.032	0.059	0.389
0.036	0.059	0.274
0.039	0.062	0.106
0.074	0.075	-0.079
0.062	0.121	-0.254
0.057	0.080	-0.311
0.051	0.105	-0.218
0.046	0.107	-0.070
0.045	0.104	-0.060
0.049	0.106	0.158
0.049	0.088	0.458
0.051	0.097	0.371
0.044	0.097	0.096
0.054	0.105	-0.154
0.062	0.086	-0.297
0.072	0.102	-0.235
0.061	0.123	-0.248
0.074	0.112	-0.094
0.065	0.109	0.046
0.058	0.094	0.207
0.056	0.067	0.362
0.050	0.038	0.399
0.037	0.042	0.085
0.064	0.029	-0.121
0.064	0.037	-0.234
0.084	0.043	-0.282
0.067	0.042	-0.259
0.080	0.037	-0.100
0.071	0.068	0.050
0.066	0.043	0.252
0.066	0.040	0.436
0.068	0.063	0.277
0.082	0.067	0.119
0.071	0.096	-0.167
0.072	0.082	-0.254
0.057	0.093	-0.287
0.061	0.101	-0.271
0.049	0.097	-0.146
0.055	0.102	0.013
0.059	0.105	0.184
0.079	0.090	0.372
0.086	0.081	0.301
0.082	0.107	0.134
0.069	0.113	-0.136
0.060	0.115	-0.280
0.059	0.117	-0.207
0.060	0.135	-0.176
0.047	0.124	-0.164
0.065	0.121	-0.039
0.047	0.098	0.334
0.074	0.109	0.414
0.079	0.090	0.286
0.076	0.087	0.107
0.068	0.084	-0.161
0.054	0.096	-0.280
0.044	0.117	-0.236
0.041	0.121	-0.286
0.046	0.118	-0.102
0.057	0.101	-0.032
0.062	0.104	0.199
0.064	0.063	0.395
0.052	0.064	0.265
0.038	0.059	0.083
0.043	0.062	-0.113
0.028	0.069	-0.273
0.024	0.092	-0.293
0.016	0.082	-0.260
